z_phot,log_Mstar,dust
5.6617,9.47954,0.2
5.615,8.93266,0.1
4.1831,8.57585,0.1
8.4179,9.03497,0.1
4.6335,8.73084,0.0
4.5029,8.22311,0.1
5.9921,8.31472,0.1
6.0166,8.43804,0.0
7.0798,8.88404,0.1
4.629,8.76858,0.2
6.3555,9.34935,0.1
5.3902,8.50647,0.0
4.4127,9.54231,0.2
4.6198,9.40276,0.1
4.5522,8.30069,0.1
4.0546,9.17539,0.0
4.6681,8.16163,0.2
4.4866,8.85611,0.1
4.5428,7.91947,0.1
4.6733,8.82065,0.1
4.1017,10.28844,0.1
4.3623,8.49205,0.0
7.8264,8.68803,0.0
6.0316,8.24168,0.0
4.1559,8.90989,0.1
4.1283,8.93439,0.1
4.5144,8.31734,0.1
5.6272,8.87226,0.1
4.5728,9.64806,0.1
4.4385,8.24635,0.1
5.5363,8.82336,0.1
4.624,8.75628,0.0
4.022,8.41622,0.1
4.0184,8.53792,0.1
5.8817,8.11923,0.0
4.56,8.38699,0.1
4.3927,8.7213,0.1
4.1743,8.61346,0.1
4.4575,8.91094,0.5
4.3381,7.76242,0.1
5.2618,9.45405,0.1
6.3616,8.25816,0.0
4.6403,8.25252,0.1
4.8325,8.26741,0.0
6.7019,8.58999,0.1
4.0718,8.49626,0.1
4.9952,8.07881,0.0
4.4051,9.04746,0.1
4.5211,8.29394,0.1
4.089,7.58641,0.0
4.6782,8.02358,0.2
4.8174,7.94722,0.0
5.9609,8.82107,0.1
9.6589,8.91314,0.0
5.361,8.49033,0.1
4.0755,9.27484,0.2
4.0222,9.89164,0.3
4.4176,9.19772,0.1
4.6192,8.66124,0.1
4.734,8.32129,0.1
4.3929,9.05185,0.1
4.7833,8.90905,0.1
4.7408,8.16158,0.1
4.5443,8.5235,0.1
4.7991,9.05359,0.1
6.1699,8.7644,0.0
4.398,8.90209,0.1
4.2882,10.00678,0.2
7.0709,7.95761,0.0
4.6274,8.62399,0.3
4.6496,9.17465,0.1
5.6776,9.48193,0.0
7.6329,8.92583,0.0
4.5225,8.95002,0.2
4.8534,9.09449,0.1
7.2053,9.67843,0.1
4.778,8.54937,0.0
4.4856,7.05479,-999.0
4.6664,8.44304,0.2
6.285,8.35539,0.0
4.7172,8.84883,0.1
6.3266,8.73725,0.1
4.6365,8.65827,0.1
4.5561,10.52255,0.5
5.1489,10.97839,0.7
4.5849,8.231,0.2
4.704,8.17453,0.1
4.4668,9.01618,0.1
4.5099,8.82667,0.1
4.645,9.10179,0.2
4.0169,8.38007,0.1
4.8058,9.08391,0.3
7.4547,7.88223,0.0
4.3137,8.87573,0.1
6.0014,9.19715,0.2
4.1106,8.26006,0.0
4.0923,7.18051,0.1
4.8097,8.3435,0.1
8.7039,8.5585,0.0
4.3129,8.84426,0.0
6.4083,9.05865,0.2
4.9114,10.05071,0.2
5.9923,9.11389,0.1
4.0138,8.60174,0.1
4.2575,10.48551,0.5
4.5255,8.08895,0.3
7.169,8.05642,0.0
6.4255,8.84087,0.0
4.6413,8.05892,0.1
4.6211,8.5603,0.1
4.3494,8.26058,0.1
4.5825,8.38317,0.1
6.1233,8.49374,0.1
4.5248,6.93664,-999.0
4.6685,9.44922,0.2
4.6932,8.4462,0.2
