ID,z_phot,z_best,MUV,z_spec,log_Mstar,log_Mhalo,t_cosmic_Gyr,t_stellar_Gyr,age_excess_Gyr,age_ratio,source
270470,13.55,13.55,,,,,0.30953033526587065,,,,JADES-GOODS-S
270801,19.78,19.78,,,,,0.1809616754730961,,,,JADES-GOODS-S
270845,19.52,19.52,-16.733279736766477,,6.412507874964077,9.564507874964077,0.18442878849977468,0.01844287884997747,-0.1659859096497972,0.1,JADES-GOODS-S
271013,21.85,21.85,-17.96072977579062,,6.902346643500545,10.287346643500545,0.15682246523917473,0.030748647710733962,-0.12607381752844077,0.19607297757906217,JADES-GOODS-S
274692,21.99,21.99,,,,,0.15538448657787338,,,,JADES-GOODS-S
274710,10.44,10.44,-16.735318193360044,,6.776676141846021,9.020676141846021,0.44442299213427006,0.04444229921342701,-0.39998069292084304,0.1,JADES-GOODS-S
274754,21.99,21.99,-17.87023232250429,,6.8537603531895375,10.252760353189537,0.15538448657787338,0.02906050892136727,-0.1263239776565061,0.18702323225042894,JADES-GOODS-S
274772,20.05,20.05,,,,,0.1774742724305197,,,,JADES-GOODS-S
274846,19.0,19.0,,,,,0.1917031989600207,,,,JADES-GOODS-S
274849,21.99,21.99,-18.543791479486188,,7.173700952755939,10.57270095275594,0.15538448657787338,0.03952657330011303,-0.11585791327776035,0.2543791479486188,JADES-GOODS-S
274945,19.15,19.15,,,,,0.18955656120619557,,,,JADES-GOODS-S
275184,14.17,14.17,-16.906715464533697,,6.7088898456535055,9.325889845653506,0.29068835450259045,0.029068835450259047,-0.2616195190523314,0.1,JADES-GOODS-S
275773,10.36,10.36,-17.574198903716518,,7.178344479265346,9.414344479265345,0.4491366639834955,0.07070304440617124,-0.37843361957732424,0.15741989037165174,JADES-GOODS-S
275854,21.99,21.99,-14.342564852242855,,5.1781183048153565,8.577118304815357,0.15538448657787338,0.015538448657787338,-0.13984603792008604,0.1,JADES-GOODS-S
275903,21.99,21.99,-15.390896520227574,,5.676075847108097,9.075075847108097,0.15538448657787338,0.015538448657787338,-0.13984603792008604,0.1,JADES-GOODS-S
275905,21.99,21.99,,,,,0.15538448657787338,,,,JADES-GOODS-S
275926,18.91,18.91,-17.804134149170356,,6.945563720855919,10.03656372085592,0.19301063269671348,0.03482170736011172,-0.15818892533660175,0.18041341491703555,JADES-GOODS-S
275987,18.91,18.91,,,,,0.19301063269671348,,,,JADES-GOODS-S
276048,19.59,19.59,,,,,0.18348455265830826,,,,JADES-GOODS-S
276075,19.29,19.29,,,,,0.18758879580710697,,,,JADES-GOODS-S
276106,19.0,19.0,-14.301963185742245,,5.278432513227567,8.378432513227567,0.1917031989600207,0.01917031989600207,-0.17253287906401862,0.1,JADES-GOODS-S
276114,17.28,17.28,-16.678565267379657,,6.476118502005337,9.404118502005337,0.21951930406939157,0.021951930406939157,-0.19756737366245242,0.1,JADES-GOODS-S
276115,16.88,16.88,-17.22284596886417,,6.750651835210482,9.638651835210482,0.22695857588418814,0.02775353796191323,-0.1992050379222749,0.122284596886417,JADES-GOODS-S
276160,19.0,19.0,-16.85622434335231,,6.491706563092347,9.591706563092346,0.1917031989600207,0.01917031989600207,-0.17253287906401862,0.1,JADES-GOODS-S
276175,16.82,16.82,,,,,0.22811058599277778,,,,JADES-GOODS-S
276189,19.0,19.0,-17.450667671381552,,6.774067143906237,9.874067143906236,0.1917031989600207,0.027809763323172757,-0.16389343563684794,0.1450667671381552,JADES-GOODS-S
